"AcceptedName","USDAcode"
"Vasconcellea pubescens","CAPU39"
"Vasconcellea quercifolia","CAQU9"
"Senna X floribunda","SEFL4"
"Plectocephalus americanus","CEAM2"
"Rhaponticum repens","ACRE3"
"Carapichea ipecacuanha","CEIP"
"Cereus repandus","CEHI3"
"Erysimum X marshallii","ERMA17"
"Chrysanthemum X morifolium","CHMO14"
"Citrus X limonia","CILI3"
"Citrus X nobilis","CINO3"
"Citrus X sinensis","CISI3"
"Cleoserrata serrata","CLSE2"
"Cleoserrata speciosa","CLSP5"
"Zephyranthes chlorosolen","CODR2"
"Varronia curassavica","COAN11"
"Cornus quinquinervis","COPA35"
"Maclura tricuspidata","CUTR2"
"Cymopterus glomeratus","CYAC"
"Solanum betaceum","CYBE3"
"Lagarostrobos franklinii","DAFR5"
"Davallia sinensis","DASO"
"Delphinium semibarbartum","DEZA2"
"Desfontainia fulgens","DESP4"
"Tortula plinthobia","DEPL3"
"Dimorphotheca tragus","CATR18"
"Diodella sarmentosa","DISE10"
"Primula latiloba","DODE"
"Primula frigida","DOFR"
"Primula hendersonii","DOHE"
"Primula meadia","DOMEB2"
"Primula fragrans","DORE"
"Primula jeffreyi","DORE"
"Primula poetica","DOPO"
"Androsace nivalis","DONI"
"Androsace laevigata","DOLA"
"Androsace montana","DOMO"
"Chamerion dodonaei","EPDO"
"Eucharis X grandiflora","EUAM11"
"Syzygium eucalyptoides","EUEU3"
"Eutrema japonicum","WAJA"
"Acca sellowiana","FESE2"
"Asperula purpurea","GAPIP"
"Gladiolus X gandavensis","GLLE6"
"Diplopterygium glaucum","GLGL5"
"Crocanthemum scoparium","HESC2"
"Helianthus X laetiflorus","HELA"
"Euploca procumbens","HEPR3"
"Howea belmoreana","HOBE2"
"Hylocereus triangularis","HYTR2"
"Cattleya harpophylla","LAHA3"
"Malva arborea","LAAR2"
"Malva assurgentiflora","LAAS"
"Malva pseudolavatera","LACR"
"Lepidium chalepensis","CACH42"
"Physaria argentea","LEAR34"
"Physaria nelsonii","LECO2"
"Physaria fendleri","LEFE"
"Physaria globosa","LEGL2"
"Physaria spatulata","LEALS"
"Linospadix monostachyos","LIMO10"
"Lonicera acuminata","LOHE4"
"Lopezia racemosa","LOCO21"
"Lupinus X alpestris","LUAL5"
"Silene chalcedonica","LYCH3"
"Silene fulgens","LYFU2"
"Malus X zumi","MAZU2"
"Mentha X villosa","MEVI6"
"Mentha X piperita","MEPI"
"Mentha X gracilis","MEGR2"
"Crataegus germanica","MEGE4"
"Micromeria douglasii","CLDO2"
"Miltoniopsis vexillaria","MIVE6"
"Musa X paradisiaca","MUPA3"
"Plinia cauliflora","MYCA9"
"Narcissus X incomparabilis","NAIN"
"Narcissus X medioluteus","NAME2"
"Oncidium spectatissimum","ODTR"
"Camissoniopsis bistorta","CABI12"
"Taraxia ovata","CAOV4"
"Cyrtochilum meirax","ONME"
"Trichocentrum carthagenense","ONCA"
"Trichocentrum undulatum","TRMA19"
"Opuntia ficus indica","OPFI"
"Consolea spinosissima","COCO14"
"Opuntia X vaseyi","OPVA4"
"Galearis rotundifolia","AMRO"
"Oxalis pes caprae","OXPE"
"Paeonia mascula","PACO55"
"Urochloa mollis","BRMO6"
"Iris dichotoma","PADI26"
"Euphorbia tithymaloides","PETI"
"Cenchrus",""
"Cenchrus latifolius","PELA5"
"Cenchrus setaceus","PESE3"
"Pinus heldreichii","PILE6"
"Aconogonon alpinum","POAL11"
"Fallopia multiflora","POMU13"
"Smallanthus uvedalia","SMUV"
"X Agropogon lutosus","AGLI"
"Plocama calabrica","PUCA2"
"X Sorbaronia hybrida","SOHY5"
"Quercus X undulata","QUPA4"
"Paliurus spina christi","PASP16"
"Therorhodion camtschaticum","RHCA5"
"Ribes uva crispa","RIUV80"
"Rosa X centifolia","ROCE"
"Rosa X odorata","ROOD2"
"Rubus X neglectus","RUIDS2"
"Tripidium bengalense","SABE8"
"Salix X pendulina","SAPE12"
"Salix eleagnos","SAEL"
"Salvia sylvestris","SASY"
"Pleioblastus fortunei","ARPY8"
"Micranthes rufidula","SARU7"
"Lomelosia caucasica","SCCA21"
"Lomelosia stellata","SCST"
"Schizolobium parahyba","SCPA23"
"Phedimus kamtschaticus","SEKA"
"Sedum nuttallii","SENU"
"Jacobaea aquatica","SEAQ"
"Jacobaea maritima","SECI2"
"Telanthophora grandifolia","SEGR11"
"Solanum crispum","SOGA2"
"Solanum laxum","SOJA7"
"Solidago leiocarpa","SOCU2"
"Billardiera heterophylla","SOHE2"
"Dermatophyllum secundiflorum","SOSE3"
"Sorbus X thuringiaca","SOTH"
"Oenothera glaucifolia","STLI2"
"Neillia incisa","STIN12"
"Austrostipa elegantissima","STEL7"
"Macrochloa tenacissima","STTE13"
"Lessertia frutescens","SUFR3"
"Thalictrum aquilegiifolium","THAQ"
"Tilia X europaea","TIEU4"
"Echinopsis peruviana","TRPE24"
"Vandenboschia radicans","TRRA3"
"Drimia maritima","URMA2"
"Vallisneria natans","VAGI"
"Glandularia X hybrida","GLHY"
"Glandularia quadrangulata","GLPU3"
"Veronica anagallis aquatica","VEAN2"
"Hebe X franciscana","HEFR"
"Yucca gigantea","YUGU"
"Yucca X schottii","YUMA4"
"Rosa X damascena","noUSDAid"
"Populus X canescens","POCA14"
"Alternanthera ficoidea var  bettzickiana","ALBE"
"Amelanchier canadensis var  canadensis","AMCA4"
"Andromeda polifolia var  latifolia","ANPOG"
"Leontodon saxatilis ssp  saxatilis","LETAT"
"Boechera breweri ssp  breweri","ARBR"
"Arabidopsis lyrata ssp  lyrata","ARLY2"
"Angelica archangelica ssp  archangelica","ANAR9"
"Eremogone capillaris var  capillaris","ARCA7"
"Eremogone macradenia var  macradenia","ARMA3"
"Arnica lanceolata ssp  prima","ARAM2"
"Symphyotrichum subulatum var  ligulatum","CODI19"
"Symphyotrichum novi belgii var  crenifolium","SYNOC"
"Symphyotrichum lanceolatum var  hesperium","SYLAH"
"Symphyotrichum novi belgii var  novi belgii","SYNOV"
"Symphyotrichum lanceolatum var  lanceolatum","SYLAL4"
"Athyrium filix femina var  angustum","ATFIA"
"Baptisia lactea var  lactea","BAAL"
"Madhuca longifolia var  latifolia","MAIN15"
"Chenopodium capitatum var  capitatum","CHCA4"
"Clinopodium menthifolium ssp  ascendens","CLAS4"
"Campanula bellidifolia ssp  aucheri","CAAU21"
"Carex crus corvi","CACR8"
"Chamaecrista nictitans var  nictitans","CHNIN2"
"Cecropia schreberiana ssp  antillarum","CESC9"
"Cerastium velutinum var  velutinum","CEARV3"
"Ceropegia linearis ssp  woodii","CEWO"
"Chenopodium bonus henricus","CHBO"
"Actaea elata var  elata","ACEL4"
"Cirsium occidentale var  coulteri","CIOCO"
"Cirsium arizonicum var  bipinnatum","CICA10"
"Citrullus lanatus ssp  lanatus","CILAL"
"Calystegia occidentalis var  occidentalis","CAOCO2"
"Corylus cornuta ssp  cornuta","COCOC2"
"Escobaria missouriensis ssp  missouriensis","ESMI3"
"Purshia mexicana var  stansburyana","PUST"
"Crataegus reverchonii var  palmeri","CRCR2"
"Crataegus crus galli","CRCR2"
"Crataegus coccinea var  coccinea","CRPE"
"Crataegus crus galli var  crus galli","CRAR6"
"Cucurbita melopepo var  melopepo","CUPEO"
"Calypso bulbosa var  bulbosa","CABUA"
"Chamaecytisus prolifera var  palmensis","CHPA44"
"Chamaecytisus prolifera var  prolifera","CHPR14"
"Dicentra formosa ssp  oregana","FIFOO"
"Primula clevelandii var  clevelandii","DOCL"
"Primula conjugens var  conjugens","DOCO"
"Primula pauciflora var  cusickii","DOPUC"
"Primula clevelandii var  patula","DOCLP"
"Primula pauciflora var  pauciflora","DOPU"
"Dolichandra unguis cati","MAUN3"
"Dryopteris filix mas","DRFI2"
"Thelypteris patens var  patens","THPA5"
"Thelypteris balbisii var  balbisii","THBA2"
"Ferocactus cylindraceus ssp  cylindraceus","FECYC"
"Echinocereus pectinatus ssp  ctenoides","ECDA"
"Echinocereus enneacanthus ssp  enneacanthus","ECENE2"
"Echinocereus coccineus ssp  coccineus","ECCOC"
"Echinodorus cordifolius ssp  cordifolius","ECCO3"
"Taeniatherum caput medusae","TACA8"
"Erythrina crista galli","ERCR6"
"Evolvulus alsinoides var  sericeus","EVNU"
"Ferocactus emoryi ssp  covillei","FEEM"
"Fimbristylis dichotoma ssp  dichotoma","FIAN"
"Duchesnea indica var  indica","DUIN2"
"Agalinis purpurea var  purpurea","AGPU5"
"Sedum laxum var  laxum","SELAL2"
"Sedum obtusatum var  obtusatum","SEOBO"
"Sedum oreganum var  oreganum","SEORO"
"Platanthera elegans ssp  elegans","PIELE4"
"Hedysarum boreale var  boreale","HEBOB2"
"Crocanthemum scoparium var  vulgare","HESC2"
"Herniaria hirsuta var  cinerea","HEHIC"
"Hibiscus rosa sinensis","HIRO3"
"Carya ovata var  ovata","CAOV2"
"Acmispon americanus var  americanus","LOUNU"
"Acmispon glabrus var  glabrus","LOSC2"
"Acmispon grandiflorus var  grandiflorus","LOGR3"
"Hypericum ascyron ssp  pyramidatum","HYAS80"
"'Hypericum repens","HYRE8"
"Hypericum denticulatum ssp  acutifolium","HYVI6"
"Ptilium crista castrensis","PTCR70"
"Impatiens noli tangere","IMNO"
"Peritoma arborea var  arborea","CLIS"
"Luzula luzuloides ssp  luzuloides","LULU3"
"Kalmia microphylla var  microphylla","KAMI"
"Kochia scoparia ssp  scoparia","BASC5"
"Lathyrus polymorphus var  polymorphus","LAPOP2"
"Lupinus argenteus var  argenteus","LUARA11"
"Lupinus polyphyllus var  grandifolius","LUPOG2"
"Lupinus argenteus var  laxiflorus","LUARL5"
"Silene coeli rosa","SICO14"
"Silene flos jovis","SIFL6"
"Silene viscaria ssp  viscaria","LYVI2"
"Escobaria dasyacantha ssp  dasyacantha","ESDAD"
"Mammillaria heyderi ssp  gummifera","MAHEM"
"Mammillaria grahamii ssp  grahamii","MAGR9"
"Escobaria sneedii ssp  sneedii","ESSNS"
"Tripleurospermum maritima ssp  phaeocephala","TRMAP"
"Maxillaria luteo alba","MALU5"
"Microlepia strigosa var  strigosa","MIST4"
"Monarda fistulosa var  mollis","MOFIM3"
"Nephrophyllidium crista galli","NECR2"
"Nuphar advena ssp  advena","NULUA"
"Eremothera boothii ssp  alyssoides","CABOA"
"Camissoniopsis cheiranthifolia ssp  cheiranthifolia","CACH13"
"Onobrychis caput galli","ONCA3"
"Parodia",""
"Opuntia santa rita","OPSA"
"Origanum vulgare ssp  viridulum","ORHE4"
"Echinochloa crus galli var  crus galli","ECCR"
"Euphorbia tithymaloides ssp  padifolia","PETIP"
"Petunia hybrida","PEAT7"
"Phoradendron serotinum ssp  serotinum","PHLE14"
"Phoradendron serotinum ssp  macrophyllum","PHMAM2"
"Phyllostachys reticulata","PHBA80"
"Platanus acerifolia","PLHI"
"Pleopeltis polypodioides var  polypodioides","PLPOP"
"Polystichum luctuosum","POTS"
"Horkelia californica var  californica","HOCAC"
"Drymocallis glandulosa var  glandulosa","POGL9"
"Ivesia gordonii var  gordonii","IVGO"
"Sanguisorba minor ssp  minor","SAMI3"
"Primula wilsonii var  anisodora","PRAN5"
"Prunus ilicifolia var  integrifolia","PRILL"
"Ptelea trifoliata var  angustifolia","PTTRA2"
"Quercus ithaburensis ssp  macrolepis","QUMA5"
"Quercus durandii var  durandii","QUSI"
"Rhododendron minus var  minus","RHCA14"
"Rosa woodsii ssp  woodsii","ROWOW"
"Rosa woodsii ssp  manca","ROMA3"
"Rosa rubiginosa var  nemoralis","ROMI"
"Rosa carolina ssp  subserrulata","ROCAC"
"Rubus sachalinensis var  sachalinensis","RUAL7"
"Sagittaria trifolia ssp  leucopetala","SALA2"
"Salix glauca var  villosa","SAGLV"
"Salix lasiandra var  lasiandra","SALUL"
"Salix uva ursi","SAUV"
"Micranthes nelsoniana var  nelsoniana","SANEN"
"Micranthes nelsoniana var  aestivalis","SANEN"
"Schoenoplectus purshianus var  purshianus","SCPU14"
"Sedum stenopetalum var  stenopetalum","SESTS2"
"Sedum spathulifolium var  spathulifolium","SESPS"
"Selenicereus grandiflorus ssp  grandiflorus","SECO16"
"Packera paupercula var  balsamitae","PAPA20"
"Curio talinoides var  mandraliscae","SEMA20"
"Silene laciniata ssp  californica","SICA4"
"Smilax bona nox","SMBO2"
"Solidago simplex var  nana","SOSIN"
"Solidago velutina ssp  califonica","SOCA5"
"Solidago sempervirens ssp  mexicana","SOSEM"
"Solidago odora ssp  odora","SOODO"
"Legousia speculum veneris","LESP2"
"Sphaeralcea angustifolia var  angustifolia","SPAN3"
"Spiraea vanhouttei","SPVA2"
"Holodiscus discolor var  discolor","HODI"
"Stachys sieboldii var  sieboldii","STAF2"
"Limonium sinuatum ssp  sinuatum","LISI2"
"Strychnos nux vomica","STNU4"
"Synthyris missurica ssp  major","SYMIM2"
"Capsella bursa pastoris","CABU2"
"Toxicoscordion venenosum var  gramineum","ZIVEG"
"Trigonella foenum graecum","TRFO80"
" Tulipa praestans","TUPR3"
"Petrorhagia saxifraga var  saxifraga","PESA9"
"Arctostaphylos uva ursi","ARUV"
"Vaccinium vitis idaea","VAVI"
"Physaria gracilis ssp  gracilis","LEGRG"
"Gonolobus suberosus var  suberosus","MAGO"
"Viola pedatifida var  brittoniana","VIBRB"
"Viola primulifolia var  occidentalis","VILAO"
"Viola sororia var  sororia","VISO"
"Viola pedata var  pedata","VIPE"
"Yucca gloriosa var  recurvifolia","YURE2"
"Zanthoxylum clava herculis","ZACL"
"Anticlea elegans var  glaucus","ZIELG"
"Toxicoscordion venenosum var  venenosum","ZIMIM"
"Stranvaesia davidiana var  davidiana","PHDA5"
"Cucurbita argyrosperma","CUMI3"
"Juniperus macrocarpa","JUOXM2"
"Zephyranthes atamasco","ZEAT"


